statsbomb_player_id,player_name,assigned_role,dominant_role,dominant_role_share,lineup_role_minutes,position_examples,season_minutes,threshold_minutes,eligible_for_initial_coefficients,experiment_008_status
138877,Saleh Al Sellami,WINGER,WINGER,0.8615495205071226,74.883334,Left Midfield; Left Center Midfield,529.1166,750.0,False,available_population_recomputed_or_reused_from_role_resolution
381935,Ismail Mihrab,WINGER,WINGER,0.9023313672411428,146.45,Right Midfield; Left Midfield; Right Wing,1046.0,750.0,True,available_population_recomputed_or_reused_from_role_resolution
138898,Ahmed Chentouf,MID,MID,1.0,19.4,Right Defensive Midfield; Left Defensive Midfield,252.36667,900.0,False,available_population_recomputed_or_reused_from_role_resolution
442093,Yassine Fatine,CB,CB,1.0,96.1,Left Center Back,1008.3,900.0,True,available_population_recomputed_or_reused_from_role_resolution
36951,Babacar Niasse,GK,GK,1.0,96.1,Goalkeeper,2050.4001,600.0,True,available_population_recomputed_or_reused_from_role_resolution
9253,Moussa Koné,MULTI_ROLE,CF,0.5118090300290367,74.266666,Center Forward; Center Attacking Midfield,1023.4832,,False,available_population_recomputed_or_reused_from_role_resolution
28263,Gonzalo Ariel Montiel,FB,FB,1.0,72.35,Right Back,,900.0,False,available_population_recomputed_or_reused_from_role_resolution
202502,Soulaimane El Amrani,CB,CB,1.0,104.95,Right Center Back,1117.3333,900.0,True,available_population_recomputed_or_reused_from_role_resolution
139004,Zakaria Bahrou,CF,CF,1.0,74.85,Center Forward,510.88336,750.0,False,available_population_recomputed_or_reused_from_role_resolution
8861,Bart Meijers,CB,CB,0.9138431278098909,103.8,Left Center Back; Left Back,320.90002,900.0,False,available_population_recomputed_or_reused_from_role_resolution
27158,Luis Fernando Díaz Marulanda,CF,CF,1.0,111.05,Left Center Forward,,750.0,False,available_population_recomputed_or_reused_from_role_resolution
152015,Zakaria Kiani,FB,FB,1.0,125.31667,Right Wing Back; Right Back,2197.05,900.0,True,available_population_recomputed_or_reused_from_role_resolution
409303,Faraji Karmoune,CB,CB,0.938321722097892,216.28333000000003,Right Center Back; Right Back,1912.9167,900.0,True,available_population_recomputed_or_reused_from_role_resolution
407852,Abdessamad Mahir,MID,MID,1.0,102.96667,Left Defensive Midfield,2116.4497,900.0,True,available_population_recomputed_or_reused_from_role_resolution
138865,Mouhcine Boumlik,CB,CB,1.0,46.083332000000006,Left Center Back,81.63333,900.0,False,available_population_recomputed_or_reused_from_role_resolution
139566,Youssef Elfahli,CF,CF,0.7449330815378602,98.11667,Right Center Forward; Left Center Forward; Right Wing,1451.0833,750.0,True,available_population_recomputed_or_reused_from_role_resolution
139571,Hamza Regragui,UNKNOWN,UNKNOWN,0.0,0.0,,1412.7666,,False,available_population_recomputed_or_reused_from_role_resolution
523288,Abdelali Khouch,FB,FB,1.0,9.35,Left Back,543.6667,900.0,False,available_population_recomputed_or_reused_from_role_resolution
30155,Bilal Ould-Chikh,WINGER,WINGER,1.0,34.116665,Right Midfield,457.43335,750.0,False,available_population_recomputed_or_reused_from_role_resolution
380596,Alí El Harrak El Harrak,MULTI_ROLE,CF,0.592177384519994,102.96667,Center Forward; Left Wing; Right Wing,952.8,,False,available_population_recomputed_or_reused_from_role_resolution
524000,Ahmed Aboulfath,WINGER,WINGER,1.0,21.583334,Right Midfield,150.95,750.0,False,available_population_recomputed_or_reused_from_role_resolution
11456,Lautaro Javier Martínez,UNKNOWN,UNKNOWN,0.0,0.0,Center Forward,,,False,available_population_recomputed_or_reused_from_role_resolution
138873,Abdelghafour Lamirat,MID,MID,1.0,80.88333,Right Defensive Midfield,1501.45,900.0,True,available_population_recomputed_or_reused_from_role_resolution
143160,Anouar Tarkhatt,CB,CB,0.7303634168901153,127.949997,Right Center Back; Center Back; Right Center Midfield,323.96667,900.0,False,available_population_recomputed_or_reused_from_role_resolution
27277,Jhon Adolfo Arias Andrade,MID,MID,1.0,111.05,Left Center Midfield,,900.0,False,available_population_recomputed_or_reused_from_role_resolution
313287,Redouane Ait Lemkadem,FB,FB,1.0,109.3,Left Back,2003.1166,900.0,True,available_population_recomputed_or_reused_from_role_resolution
523311,Anas Jabroun,WINGER,WINGER,0.9901865809451248,29.316668000000004,Center Forward; Right Wing,215.59999,750.0,False,available_population_recomputed_or_reused_from_role_resolution
157113,Badr Gaddarine,CB,CB,0.7097440973536348,211.93333,Left Center Back; Left Wing Back; Left Back,1892.25,900.0,True,available_population_recomputed_or_reused_from_role_resolution
139023,Amine Aboulfath,CB,CB,1.0,103.8,Right Center Back; Left Center Back,1608.4166,900.0,True,available_population_recomputed_or_reused_from_role_resolution
313283,Tahar Ahmed Madeira El Khalej,CB,CB,1.0,109.3,Left Center Back,1015.96655,900.0,True,available_population_recomputed_or_reused_from_role_resolution
131244,Ismaël Kandouss,CB,CB,1.0,199.566664,Right Center Back,2149.25,900.0,True,available_population_recomputed_or_reused_from_role_resolution
523996,Fred Duval Ngoma,MID,MID,0.9163895031625128,175.65,Left Defensive Midfield; Center Defensive Midfield; Right Center Midfield,1765.4167,900.0,True,available_population_recomputed_or_reused_from_role_resolution
313974,Mohamed El Abdi,FB,FB,0.7389538357039722,179.43333,Left Back; Left Center Back,749.6667,900.0,False,available_population_recomputed_or_reused_from_role_resolution
7183,Moctar Sidi El Hacen El Ide,MID,MID,1.0,96.1,Right Defensive Midfield,1722.7499,900.0,True,available_population_recomputed_or_reused_from_role_resolution
199612,Abdallah Boukhanfer,UNKNOWN,UNKNOWN,0.0,0.0,,70.26667,,False,available_population_recomputed_or_reused_from_role_resolution
254035,Kamal Bilal,UNKNOWN,UNKNOWN,0.0,0.0,,,,False,available_population_recomputed_or_reused_from_role_resolution
27768,Lisandro Martínez,CB,CB,1.0,130.51666,Left Center Back,,900.0,False,available_population_recomputed_or_reused_from_role_resolution
442094,Soufiane Abaaziz,UNKNOWN,UNKNOWN,0.0,0.0,,1388.0836,,False,available_population_recomputed_or_reused_from_role_resolution
312936,Hamza Hannouri,CF,CF,1.0,103.8,Center Forward,1161.1166,750.0,True,available_population_recomputed_or_reused_from_role_resolution
138972,Mahdi Benabid,GK,GK,1.0,103.8,Goalkeeper,2228.7834,600.0,True,available_population_recomputed_or_reused_from_role_resolution
313281,Ayoub El Khayati,UNKNOWN,UNKNOWN,0.0,0.0,,193.06665,,False,available_population_recomputed_or_reused_from_role_resolution
523294,Ilyass Badri,UNKNOWN,UNKNOWN,0.0,0.0,,642.3667,,False,available_population_recomputed_or_reused_from_role_resolution
312410,Anass Nouader,UNKNOWN,UNKNOWN,0.0,0.0,,734.19995,,False,available_population_recomputed_or_reused_from_role_resolution
