role,player_id,player_name,score,bootstrap_mean,bootstrap_std,bootstrap_ci_low,bootstrap_ci_high,score_variance,bootstrap_samples,experiment_008_status
CF,138876,Hamza Khaba,66.47425015492958,66.60804856112013,4.321017216399595,57.86560824098291,74.55516961484398,18.6711897844217,300,not_recomputed_full_population_unavailable
CF,139566,Youssef Elfahli,48.36876489868084,48.10158048050158,10.717343976729143,27.922919706913397,69.97596544351042,114.86146191553246,300,not_recomputed_full_population_unavailable
CF,140867,Ismail Khafi,50.60785206930373,50.6948623449513,3.8387555423529744,41.975757448185526,56.297323416124925,14.736044113945676,300,not_recomputed_full_population_unavailable
CF,140886,Mustapha Sahd,75.92856395929778,76.2749670589268,9.188567504170692,58.64403292329069,92.89764703724568,84.4297727787016,300,not_recomputed_full_population_unavailable
CF,140887,Haytham El Bahja,38.13800491088261,38.22840520483694,6.310972419047725,24.12822353535343,47.49856724249638,39.82837287398109,300,not_recomputed_full_population_unavailable
CF,143504,Oussama Lamlaoui,49.86445433449164,50.68891788908606,21.42520231808291,5.30618752677127,93.50406603912472,459.0392943707852,300,not_recomputed_full_population_unavailable
CF,155347,Ayoub Mouloua,51.98861374325399,52.08912469288638,3.1791331721455176,45.43107141909085,57.94255002926887,10.10688772623602,300,not_recomputed_full_population_unavailable
CF,155705,Soufiane Benjdida,52.75066400365881,53.26309129371951,18.456442928797102,16.070085532594625,88.33761734989254,340.64028558394466,300,not_recomputed_full_population_unavailable
CF,312936,Hamza Hannouri,58.76054835869575,58.586816008591086,6.470072087453088,44.773569279885606,67.93322804680633,41.86183281683955,300,not_recomputed_full_population_unavailable
CF,3319,Yacine Bammou,61.068254516203794,60.66053207789423,11.423666646867678,35.21544583375668,79.99833438849532,130.50015965875704,300,not_recomputed_full_population_unavailable
CF,335508,Paul Valère Bassène,55.99167694236434,55.83625215637076,7.12343355251338,43.03726821488704,70.8120951154599,50.7433055770734,300,not_recomputed_full_population_unavailable
CF,360406,Imad Khannouss,20.9537940655467,20.99931686402344,3.1768392354707404,13.971963379557527,25.231524386868823,10.09230752802632,300,not_recomputed_full_population_unavailable
CF,38423,Siriki Sanogo,38.49002372177697,37.99004730182892,20.90647125358873,0.0217866076987722,77.70689413685672,437.08054027713206,300,not_recomputed_full_population_unavailable
CF,406860,Abdelaziz El Hamzaoui,39.68066401505422,39.4779185263941,12.3586282352188,15.869573043158958,62.79856637786581,152.7356918563473,300,not_recomputed_full_population_unavailable
CF,409301,Jawad Ghabra,47.78203037222179,47.66561647521994,2.7112418989540474,41.980175639169055,52.58120302110768,7.35083263464395,300,not_recomputed_full_population_unavailable
CF,442295,Reda Abardi,52.71189778852511,52.50071651645223,6.619908444386534,40.78532399422573,65.95775202480559,43.82318781206014,300,not_recomputed_full_population_unavailable
CF,453613,Baba Bello Ilou,66.62200976391712,66.72723999142022,5.950771892264275,53.85433504694715,77.40884803793593,35.41168611376255,300,not_recomputed_full_population_unavailable
CF,477684,Brahim Amzili,35.18343448628092,35.1490029139358,12.402997599095665,11.37833939328564,58.60607390258049,153.83434944317278,300,not_recomputed_full_population_unavailable
CF,503286,Mehdi Balouk,29.398930048887927,29.802219854447877,9.658203809086178,10.06299975140882,49.13703349624617,93.28090081784674,300,not_recomputed_full_population_unavailable
CF,522342,Younes El Bahraoui,39.821111100691645,40.19460710061491,7.543229938425949,25.925693952695152,54.34653477812223,56.90031790396554,300,not_recomputed_full_population_unavailable
CF,524001,Nasreddine Moustaghfir,53.378000469389896,52.7340726009102,15.77592756628211,23.430863102079137,83.06685057796513,248.8798905765798,300,not_recomputed_full_population_unavailable
CF,524392,Romuald Dacosta,23.227557924552748,23.059865747457533,6.23400483181041,11.515425262206582,34.273991602678414,38.862816243035546,300,not_recomputed_full_population_unavailable
